389: 536,453,387,154,519,545,149,341,699,153
390: 124,342,159,349,136,536,404,506,519,559,667
391: 449,357,160,137,353,714,305,40,639,401,551,663
392: 157,160,138,339,379,529,462,526,731
393: 394,388,140,657,550,723,644,761
394: 39,393,140,113,647,550,634,644,761
395: 124,159,388,657,520,512,576,761
396: 161,160,138,714,339,397,411,551,703
397: 396,161,157,138,339,411,140,634,470,644
398: 355,141,657,520,413,723,427,512
399: 362,366,406,498,759
401: 391,449,350,137,305,289,123,577,663,705,712
402: 660,179,183,251,215,220,80,203,211,424,493,217,668,698
403: 306,552,84,503,514,542,574,613,221,672
404: 390,159,136,154,506,519
405: 351,350,106,289,297,594,132,304,736,417
406: 399,362,365,366,284,606,541,484,621
407: 164,524,570,767,609
408: 410,476,185,41,497,170,570
409: 383,296,126,98,422,429,617,302,335,295
410: 181,52,252,218,408,465,476,185
411: 396,161,358,420,397,359,750,703,470
412: 165,190,195,229,43,65,603,727
413: 398,141,361,114,139,723,427
414: 332,435,471,155,377,505
415: 39,738,387,431,614,535,680,96,149,568,25
416: 338,317,90,595,228,441
417: 78,282,736,288,244,734,258,582,297,405,132
418: 116,139,113,340,386,634,470,477,486,589,420,359
419: 371,274,281,122,488,525,63,760
420: 161,589,358,107,30,411,430,359,584,116,418,634,470
421: 102,274,127,365,90,323,284,500,621
422: 126,328,409,617
423: 6,84,613,313,107,30
424: 183,135,211,402,721,217,70,180,252,218,475,185,718
425: 53,58,11,12,181,182,109,459,666,645,673,718
426: 189,45,230,20,533,43,65,174,89,68,443,530,602,616
427: 398,162,355,356,141,361,308,413,695
428: 257,264,112,16,574,688,643,664,768,60,757,430,537,312
429: 296,728,98,409,590,765,508,59,294,246,559,335,105,295
430: 344,589,107,420,537,547,584,6,112,16,428,116
431: 37,387,415,535,576,680,374,33,96,149
432: 248,21,483,508,511,72,665
433: 83,2,250,684,518,643,652,768,687,757
434: 585,44,240,193,26,285,279,683,694,479,509,546,770
435: 101,332,151,471,633,692,709,510,414,155,377,505,739
436: 261,689,86,15,557
437: 376,375,374,489,37,154
438: 201,447,235,448,642
439: 22,371,281,127,370,34,696
440: 375,369,144,451,619,649,746
441: 64,223,270,269,495,317,416,595,228
442: 280,279,482,479,481,612,598,104,456,103,661,273
443: 189,229,533,43,65,89,426,735,464,494,637,654
444: 306,263,503,613,688,352
445: 254,77,354,253,87,458,491,744,725,729
446: 110,266,61,301,605,478,198,676,708,713,555,81,210,57,641
447: 78,201,208,209,438,235,448,658
448: 78,201,438,447,235,658,636,9,258
449: 391,385,384,137,155,353,40,529,401,712
450: 513,227,24,8,225
451: 375,374,33,457,381,440,649
452: 615,255,597,627,303,77,491
453: 389,39,158,536,346,380,387,610,545,623,679,153
454: 7,119
455: 186,224,707,268,89,269,640,530,754,271,10,560,276,91
