534: 101,102,142,373,324,362,484,496,692,709
535: 431,415,614,680,96,25,7
536: 124,390,389,159,158,453,387,519,559,545,667,679
537: 344,35,123,430,547,577,584,620,108,428,664,312,60
538: 262,569
539: 146,147,119,521,378,562,651
540: 360,361,139,742,340,316,486
541: 363,338,318,362,284,496,516,553,572,631
542: 6,84,403,574,672,265,543,313
543: 115,266,586,265,478,85,314,313,6,16,542,116,742,531
544: 376,375,121,328,382,617,619,653,746
545: 389,536,347,453,294,519,559,623,679,348,728,131,341,153,590
546: 585,604,434,193,71,226,580,97,694,611,753
547: 589,35,430,537,27,16,428,210,60,478,713,116,386,57,656
548: 31,330,337,125,655,29,4,333,1,367,134,578
549: 48,468,171,172,247,193,197,753
550: 394,39,388,614,644,680,157,133
551: 396,391,357,160,714,639,703
552: 251,216,403,514,221,672
553: 10,700,338,317,318,319,541,560,572,631
554: 172,207,49,618,715
555: 180,446,61,605,14,198,676,713,2,210,23,652
556: 53,261,62,86,184,52,109,15,459,650,557,493
557: 53,507,222,556,689,86,15,260,436,648
558: 291,320,368,143,232,561,367,732,697,325,670,655,91
559: 307,255,390,342,536,628,294,246,519,545,667,679,335,728,429
560: 10,700,317,318,553,595,276,269,455,640
561: 320,368,364,143,283,558,622,325,670,516,631,118
562: 101,332,372,142,146,147,473,378,539,633,651
563: 46,635,173,9,717,202
564: 320,364,272,625,88,118
565: 282,243,108,682,747,69,36,719,28,594,132
566: 206,293,238,580,97,588,587,602,487,14
567: 206,171,247,293,675,591,469,170,47,487,475,176
568: 96,148,149,381,300,153,671,163,662,150,415
569: 267,262,219,260,87,463,659,309,538
570: 164,721,407,497,170,408,185
571: 369,283,277,152,686,622,649
572: 363,319,541,553,631,118
573: 369,121,326,321,286,502,686,608,746
574: 6,264,212,112,403,16,428,514,542,613,672,757,85
575: 46,194,45,3,9,202,201,196,677
576: 395,159,388,37,387,431,680
577: 351,305,289,123,401,537,594,705,304,311,664,312
578: 331,380,623,548,125,4,671,681,134
579: 44,172,54,499,704,177,629,182,214,299,49,744,501
580: 278,71,226,238,97,546,566,596,587
581: 79,83,209,259,50,74,515,687,755
582: 122,36,532,525,638,244,288,417,336,106,297,132
583: 48,67,26,461,285
584: 357,344,358,111,714,107,420,305,430,537
585: 604,434,233,26,8,279,479,546,612,611
586: 115,265,543,314,701,313,360,742
587: 230,530,754,602,616,487,278,580,97,19,566
588: 20,602,669,69,238,566,23,652,237,14
589: 161,344,345,420,35,430,547,116,647,386,418,634,656
590: 728,98,131,18,429,474,59,92,294,545,348
