0: 278,226,66,93,580,291,18,232,474,1,103
1: 291,4,18,596,29,278,0,548,367
2: 433,135,212,210,217,652,180,56,61,555,14
3: 189,194,45,258,236,290,68,575,243
4: 291,131,18,333,153,1,596,348,331,623
5: 104,286,474,527,103,66,442,279,92,482
6: 112,16,543,313,314,423,107,116,30
7: 454,25,535
8: 604,67,513,188,233,24,26,450,611
9: 636,46,194,201,438,235,448,642
10: 319,91,118,553,560,631,268,455,271,320,88
11: 53,254,58,354,253,219,182,214,299,445,425,645
12: 180,58,181,109,299,425,475,528,206,177
13: 46,168,169,45,205,635,174,575,75,196
14: 180,61,528,555,237,206,293,238,566,198,2,135
15: 556,261,221,265,436,493,557,648,650,251
16: 6,112,428,210,85,543,478,430,547,116
17: 254,253,214,72,501
18: 291,4,131,474,590,1,596,348,66,0
19: 513,192,278,93,97,231,230,225,530,587
20: 95,230,533,29,68,426,588,587,602
21: 287,199,54,239,483,508,511,72,432
22: 371,370,151,439,435,471,34,377
23: 250,27,652,29,69,588,605,555,108,134
24: 513,188,8,450,231,225,187
25: 472,150,32,7,147,163,415,614,535
26: 585,604,67,188,193,233,461,285,8,479,583,611
27: 250,210,23,446,605,555,108,35,134,547,129,57
28: 385,343,156,108,289,510,123,594,620,565,132,117,31,36,638
29: 95,230,20,69,588,278,238,23,548,330,337,367,1
30: 116,340,316,418,6,314,423,107,420,359
31: 117,337,36,492,95,156,108,28
32: 38,130,472,25,150,372,147,378,329,633
33: 374,96,457,451
34: 22,371,281,532,439
35: 589,108,345,537,547,601,620,60,27,129
36: 117,31,122,500,492,582,638,95,244,290,128,565,132,28
37: 159,431,154,576,374,489
38: 449,385,353,130,379,510,529,526,505,601,32
39: 158,453,380,387,610,415,614,647,632,150,133
40: 391,449,160,529
41: 170,175,497,408,476
42: 231,168,191,47,485,616,192,469,487
43: 195,45,174,412,443,464,603
44: 434,172,247,193,199,71,54,239,509,549,579,177,629,499
45: 13,46,189,194,3,43,174,68,464,575
46: 13,194,45,635,9,575,563,202,201
47: 42,168,169,205,293,170,567,469,487,70
48: 468,193,200,461,285,583,549
49: 182,214,618,501,172,207,554,579,629
50: 55,83,201,208,209,203,74,243,196,599,447,515,581
51: 179,183,211,70,524,570,178,169,609
52: 460,62,184,181,410,213,218,459,465
53: 556,62,11,86,219,260,459,645,557
54: 44,21,199,239,579,629,59,253,214,299,72,499
55: 83,282,433,250,203,50,74,243,212,599,518,643,652
56: 110,180,507,266,446,109,61,478,648,650,2,212,210,85,217
57: 116,346,129,386,27,210,446,478,81,547
58: 110,354,11,12,109,301,299,425,645
59: 354,253,301,299,248,458,499,523,76,54,246,508,105
60: 304,282,250,257,428,643,312,108,35,123,537,577,594,620
61: 110,180,56,446,301,528,555,14,198,2
62: 460,53,556,261,86,184,52,213,459
63: 275,73,94,128,99,467,274,122,419,488
64: 275,186,223,229,269,441,640,495
65: 186,190,229,89,412,426,443,530,603,616
66: 434,199,226,0,279,92,18,474,103,5
67: 188,26,461,8,583
68: 189,45,237,3,205,290,20,533,174,69,426,588,602,75,518
69: 95,290,29,68,588,565,518,23,652,108
70: 51,135,211,75,424,169,237,205,47,293,170,252
71: 44,206,247,580,546,566,177,499,528
72: 17,253,432,21,54,511
73: 94,63,467,592
74: 55,79,83,208,259,257,50,263,599,581,600,643
75: 433,135,203,196,70,518,13,237,205,68,575
76: 246,92,508,59,523,429,590,348,294,105
77: 248,445,458,491,303,452,627
78: 249,417,447,235,448,242,258
79: 208,259,263,74,522,581
80: 83,251,215,216,220,203,212,402,514,217
81: 110,446,301,641,593,347,82,346,57
82: 162,347,308,346,628,309,477,531,81,593
83: 55,216,259,80,203,50,74,212,514,581,643
84: 306,403,542,574,613
85: 212,16,210,574,56,266,543,478,648
86: 53,556,261,62,436,557
87: 110,354,219,445,491,463,569,593,309
88: 320,564,268,271,10,319,118
89: 186,230,65,269,426,455,530,624,637,276
90: 274,322,323,416,421,488,595,621,228,275
91: 10,276,318,330,325,560,367,631,230,455,93,271,320,558
92: 76,199,66,246,508,296,98,429,590,5
93: 604,278,226,0,271,19,612,225,91,272
94: 275,189,195,236,73,100,128,63,443,464,467,494,637
95: 290,20,533,29,69,624,31,330,36,492
96: 374,33,149,163,457,381,451,568,431,415,535
97: 192,278,238,580,19,546,566,591,487,587
98: 296,335,327,126,328,409,429,527,590,92
99: 242,236,244,63,467,288,122,419,525
100: 636,194,236,94,464,467
101: 332,372,117,102,370,151,435,329,534,633
102: 101,117,365,370,323,284,421,500,490,492,534
103: 272,286,232,456,474,5,66,0,612
104: 527,607,5,442,482,273,598
105: 307,597,295,294,76,246,508,59,248,458,523,429
106: 384,350,336,343,289,298,297,405,532,582
107: 423,344,589,358,420,430,584,6,112,30
108: 156,35,28,134,620,69,565,60,250,27,23,31
109: 180,507,58,556,56,12,181,218,425,459,475,645,650
110: 507,58,354,56,266,446,61,301,87,463,645,81,593
111: 357,351,305,584,646,311,352,312
112: 6,16,574,613,352,107,430
113: 162,394,158,141,140,346,610,386,634,477,647
114: 393,140,139,413,470
115: 267,222,266,586,265,543,463,315,314
116: 386,418,30,57,531,6,16,478,314,589,547
117: 101,102,31,371,370,337,36,151,500,492,329,638,156,510,28
118: 10,319,572,631,320,364,88,564
119: 539,651,163,152
120: 321,456,564,608,625
121: 327,328,382,480,544,573,617,619
122: 371,274,36,419,500,525,582,638,244,128,63,99
123: 385,305,289,28,401,537,577,594,620,60
124: 162,395,390,159,158,141,349,536,520
125: 372,324,548,337,329,333,156,578
126: 296,98,328,409,422,527,292,607
127: 371,322,370,606,421,439,630
128: 275,189,236,244,290,533,94,63,624,637,274,122,323,36,500
129: 331,346,380,610,386,57,647,27,632,345,35,134,578
130: 632,156,38,472,526,601,150,133,32
131: 291,4,327,148,326,341,18,474,590
132: 565,282,417,244,290,36,582,28,405,594
133: 632,130,472,526,150,394,39,614,647
134: 156,108,578,27,23,605,548,331,129
135: 2,433,75,70,424,217,237,293,180,475,14
136: 390,342,349,404,506
137: 449,384,350,401
138: 396,392,161,157,160,353,339,529,397,526
139: 141,140,114,308,340,413,418,470,477,486,540
140: 394,393,141,114,139,113,634,470,477,644
141: 398,162,395,124,393,158,140,139,308,113,520,413,477,512
142: 399,372,146,373,362,334,484,534,562,651
143: 291,368,148,300,333,561,558,622,373,324,325,367
144: 369,277,504,440
145: 332,366,370,606,473,484
146: 399,142,473,539,562,651
147: 372,378,539,562,633,651,163,25,32
148: 291,368,143,131,326,341,382,381,300,333,153,568,622,649
149: 375,374,96,341,381,153,568,389,453,387,431,154,415
150: 632,130,472,25,578,133,32,372,163,568,39,380,415,614
151: 101,117,22,371,370,435,638,343,377,510
152: 163,457,381,300,571,622,649,119,651
153: 4,148,149,341,333,568,453,380,623
154: 389,159,37,387,519,376,375,374,149,437
155: 449,384,377,414
156: 632,108,130,510,28,134,578,601,620,117,31,125,329
157: 392,138,339,397,462,550,644
158: 162,395,394,124,39,388,393,141,113,387,647
159: 124,390,389,536,37,387,404,154,519,576
160: 396,392,391,138,353,339,40,529,551
161: 396,344,138,353,345,420,397,634
162: 124,158,141,349,536,347,308,82,113,346,628,610,477
163: 96,457,381,300,152,568,372,147,119,651,25,150,415
164: 183,407,524,570,185
165: 168,190,191,485,603
166: 167,188,204,197,469,191,485
167: 166,468,188,204,197,461
168: 42,13,165,169,191,205,174,47,603,616
169: 13,168,205,47,609,170,51,70
170: 41,176,567,175,497,169,47,70,570,252,408,476
171: 468,247,204,197,176,567,549,591,469
172: 44,549,554,579,629,49
173: 563
174: 13,168,45,205,43,68,426,602,603,616
175: 41,204,170,469,497
176: 206,171,247,170,567,177,181,618,475,476
177: 44,206,247,71,176,579,12,299,499,528
178: 51,202,179,196,524,635,609
179: 51,183,215,203,211,196,524,515,178
