0: 348,335,98,326,105,4,292,5,103,21,66
1: 56,75,210,244,74,245,13,70,238,237,69,198,180,2
2: 27,135,301,299,109,29,237,69,3,23,291,75,245,1,13,331,31,123,57,129
3: 92,278,23,291,230,237,69,2,129
4: 348,335,98,326,105,0,292,5,103,21,66
5: 368,326,232,0,4,292,103,92,278,66,18,91
6: 84,16,264,112,265,107,30
7: 
8: 231,44,47,166,167,188,247,192,204,226,197,97
9: 46,194,45,196,173,201
10: 325,118,317,318,268,270,276,271,320
11: 49,198,247,199,71,246,301,12,109,29,206,14,76
12: 180,53,301,181,182,109,29,218,206,176,177,198,71,293,11
13: 56,75,210,244,74,245,1,70,238,237,69,198,180,2
14: 59,27,246,301,299,109,29,76,71,11,348
15: 251,222,58,261,266,184,265,212,260,221,85,61,217
16: 85,6,250,264,135,266,265,107,35,116,57
17: 59,53,254,81,82,253,219,214,206,248,77,54
18: 231,92,278,226,233,91,97,279,93,19,230,272,5,103
19: 230,284,20,225,65,276,231,18,91,97
20: 19,95,189,230,284,275,65,89,276,330
21: 287,240,193,54,66,239,105,0,4,292
22: 371,281,127,370,34,377
23: 92,278,3,291,230,237,69,2,129
24: 231,188,233,225,187
25: 39,388,158,347,96,387,380,150,345,379,133
26: 104,240,227,234,279,93,280,273
27: 110,135,246,301,299,109,2,29,14,76,348,307,354,57,113,129
28: 36,108,130,331,31,123,329,237,69,282,134
29: 110,180,27,53,135,58,246,301,12,299,109,2,212,14,76,198,71,11
30: 107,359,6,313,316
31: 386,36,156,108,130,331,123,28,250,2,57,129
32: 332,372,337,150,36,38,130,379,151
33: 375,381,37
34: 371,281,22,336,377
35: 386,138,156,107,359,16,116,140,57,346
36: 386,385,344,132,156,353,108,38,130,331,31,123,151,28,329,32
37: 389,159,96,387,33,154,149,381
38: 386,36,385,156,353,345,130,379,40,133,151,32
39: 162,161,394,124,388,393,158,347,153,346,96,387,25,380,345,133
40: 392,391,385,160,155,38,378,379,151
41: 175,164,170,51,252,185,176
42: 165,168,190,191,205,43,65,174,187,166
43: 42,168,189,190,195,45,229,174
44: 47,48,49,167,171,247,192,193,204,199,293,197,8
45: 70,46,68,189,194,236,238,196,290,100,43,174,9,258
46: 168,169,45,196,174,173,9
47: 44,166,167,171,247,192,204,293,197,8,191,205,170
48: 44,167,171,172,192,200
49: 177,44,172,192,193,199,200,71,11,207,206
50: 78,202,201,178,258,208,209,203,243
51: 179,252,169,170,41
52: 62,184,181,185,211
53: 110,17,254,58,301,81,82,253,12,219,109,29,212,260,218,206
54: 21,72,239,207,59,17,81,253,214,248,105
55: 85,56,60,83,210,250,80,203,244,257,264,74,243
56: 55,179,75,210,80,203,211,245,252,1,13,61,217,180
57: 307,354,113,346,129,16,250,27,135,299,2,386,156,35,331,31,123
58: 110,180,53,135,251,261,301,266,109,29,15,212,260,218,61,217
59: 17,254,246,81,82,253,14,76,54,348,105,303,295
60: 304,55,244,74,243,282,312,344,132
61: 85,56,210,80,211,217,180,251,58,184,15,212
62: 261,86,52,213
63: 228,73,94,102,274,281
64: 223,224,270,269
65: 42,19,186,189,190,229,284,20,225,187
66: 92,21,240,193,278,226,279,93,0,4,292,5,103
67: 
68: 70,95,189,45,236,238,290,100,237,69,258,244,74
69: 68,95,236,237,3,23,291,75,244,74,245,1,13,2,134,108,28
70: 68,169,45,236,238,205,174,75,244,74,245,1,13
71: 49,198,247,199,11,246,301,12,109,29,206,14,76
72: 54,239,207,214,248
73: 63,228,274
74: 55,60,75,258,203,244,243,245,282,1,13,70,68,236,238,237,69
75: 56,210,244,74,245,1,13,70,238,237,69,198,180,2
76: 59,27,246,301,299,109,29,14,71,11,348
77: 17,254,81,82,262,253,219,87,248,310,255,303,309
78: 202,201,258,208,249,50,243,282,235,242
79: 83,208,209,256,257,263
80: 85,55,56,83,84,179,210,215,220,203,257,61,217
81: 59,17,53,254,82,253,219,214,206,248,77,54
82: 59,110,17,53,254,81,253,219,87,77,354,303,309
83: 55,79,84,215,80,203,257,263,264,243
84: 85,6,83,216,220,80,257,264,265,221
85: 55,84,16,250,80,264,61,217,135,251,265,15
86: 261,62
87: 110,267,254,115,266,82,260,77,310,354,315,308,309
88: 
89: 95,189,228,229,284,20,275,94,269,276,102
90: 102,128,338,274,317,322,228,269
91: 231,92,278,226,233,18,97,279,93,19,230,272,5,103
92: 247,278,226,66,18,91,97,3,23,291,230,5,103
93: 104,226,227,66,233,18,91,26,279,273,272
94: 63,95,189,228,290,100,275,89,102
95: 68,189,236,284,20,275,94,89,237,69,117,323,134,122,330
96: 39,347,153,37,387,25,380,150,163,149,381,300
97: 231,92,247,204,278,226,18,91,8,19,230
98: 335,280,126,328,105,296,286,0,4,292,287
99: 336,343,297,289,329,242,288,282,281,122
100: 68,189,194,45,236,290,94,242,258
101: 117,142,145,128,338,127,323,324,122,365,370,337
102: 117,128,338,274,322,323,122,90,63,228,275,94,89
103: 368,326,232,0,4,292,5,92,278,66,18,91
104: 240,227,234,26,279,93,280,273
105: 348,335,126,98,296,0,4,292,287,21,54,59,302,295
106: 384,350,336,343,297,298
107: 312,352,359,35,30,6,16,264,112
108: 36,130,331,31,123,28,329,237,69,282,134
109: 110,180,27,53,135,58,246,301,12,299,2,29,212,14,76,198,71,11
110: 27,53,254,135,58,301,266,82,299,109,29,212,260,87,354
111: 357,351,350,137,305,304,311
112: 306,6,263,264,311,352,107
113: 307,124,354,153,57,346,294,129,27,299,348
114: 139,397,340
115: 267,222,314,266,260,87,315
116: 140,308,340,16,314,266,35
117: 101,102,128,338,323,324,134,122,330,337,95
118: 10,325,317,318,362,319,320,363
119: 399,372,142,146,147,334,152,300,373
