0: 226,66,279,694,908,691,18,784,474,5,732
1: 580,596,18,903,948,782,29,605,548,4,784,367,331
2: 433,212,210,217,652,797,180,56,774,676,915
3: 189,194,45,787,68,752,258,243,518,575,658,677
4: 291,131,784,333,671,367,741,623,1,548,125,331
5: 327,286,474,590,661,737,765,66,279,92,0,877
6: 936,16,542,613,423,313,112,543,742,107,30,795,116
7: 157,462,133,856,550,614
8: 585,604,227,24,840,26,611,722,792,843
9: 194,563,866,950,202,448,575,781
10: 700,318,319,325,553,560,631,276,91,268,455,271,88,764,118
11: 354,182,214,299,645,673,711,729,801,878
12: 814,718,808,809,922,880,870,206,177
13: 46,168,169,45,205,635,717,727,743,944
14: 135,652,797,588,602,293,237,566,774,870
15: 556,261,689,436,815,650,557,648,930,939,251,221,493
16: 6,428,768,60,85,266,543,478,531,547,795,116
17: 744,501,725,704,72,900
18: 226,66,0,903,948,1,784,367,732
19: 604,513,278,226,840,93,97,611,225,707,530,754,587,832
20: 95,230,533,68,747,426,588,602,669,238,769,69
21: 287,199,54,239,483,683,508,517,72,770,904,432
22: 371,151,532,439,638,696,835,377,343
23: 250,210,652,782,588,69,605,713,555,134,702
24: 166,513,188,840,8,611,722,792,733
25: 96,147,119,163,842,856,535,901
26: 585,67,193,461,285,8,479,583,722,843
27: 35,547,620,129,134,702,578,60,478,713,57,656,921
28: 385,289,594,620,156,716,702,565,108,779,719,851
29: 782,669,238,769,697,278,580,1,548,330,871,367
30: 107,420,6,423,313,742,116,340,316,486
31: 129,681,156,702,578,337,125,851,871
32: 101,372,435,633,662,692,130,329,472,681,150
33: 374,457,451,489,813,783,830,898
34: 336,835
35: 344,632,345,430,547,601,620,129,27,853,589,656
36: 122,638,719,854,887,565,244,819,132,716
37: 926,431,154,576,918,374,489,794
38: 449,353,130,329,526,601,739,771
39: 394,158,738,453,647,387,415,810,614,680,761,958
40: 449,384,917,155,829,529,799,834,858
41: 675,170,778,836,913,176,476,408
42: 168,897,485,603,727,777,231,944,953,469,191
43: 195,45,65,412,426,443,464,603,727,944
44: 172,247,499,549,177,629,753,821,839,888,579
45: 13,46,189,194,3,43,174,68,426,464,677
46: 13,194,45,635,563,717,743,202,575,677
47: 168,169,205,570,953,675,567,469,170,70
48: 200,285,509,583,933,941
49: 182,214,715,865,888,579,172,207,554,629,618
50: 201,209,196,447,515,581,575,658,687,781
51: 179,183,211,75,721,524,767,178,762,609,70,169,743,570
52: 460,556,62,184,181,213,218,425,459,891,930
53: 507,556,109,260,425,459,463,666,645,557,673,801
54: 21,199,499,508,72,821,706,253,248
55: 282,208,243,599,518,643,658,682,687,884
56: 180,507,109,666,650,648,676,914,915,2,212,217,902
57: 82,346,386,641,656,921,446,478,81,531,708,713,547,27
58: 110,354,61,301,299,666,645,528,726,676,801,808,912,956
59: 76,199,66,508,92,706,523,590,765,937,294,105
60: 250,108,16,428,768,478,547,620,27,853,702
61: 58,301,666,528,774,676,555,808,809,880,198
62: 460,556,261,86,184,52,213,459,812
63: 274,419,275,873,945,674,73,94,467,760
64: 186,270,269,883,735,466,640,892
65: 186,190,43,412,735,443,603,881
66: 76,199,694,59,92,0,18,839,948,784,5,937
67: 26,461,583,722
68: 189,45,3,20,174,747,426,602,69,237,243,518,677
69: 20,68,747,588,243,23,682,884,779
70: 51,135,75,721,169,205,47,570,293,170,475
71: 206,97,546,566,591,954,753,903,948,198
72: 21,54,239,704,904,900,17,744
73: 94,467,592,275,63
74: 83,259,257,264,599,522,581,600,643,687,755,773
75: 51,135,211,684,677,762,70,205,743,237
76: 199,66,59,839,706,301,523,528,726,937
77: 248,445,491,665,303,938,597,452
78: 249,736,417,235,828
79: 259,522,581,848
80: 660,83,216,220,203,514,581,902
81: 301,458,523,593,627,708,912,956,307,347,82,57,641,730,919
82: 347,610,386,57,745,730,919,81,708
83: 433,259,80,203,264,74,514,581,643,687,757
84: 403,542,613,423,313,822,949
85: 212,936,16,768,672,757,266,543,915
86: 556,261,62,260,436,459,803
87: 354,219,491,309,645,569,593,729,879
88: 320,764,118,940,268,748,271,10,319
89: 230,533,269,455,530,754,769,847,881,697,624,276
90: 910,416,595,621,785,693,441,228,275
91: 10,325,655,276,455,754,697,93,271,367,764,909
92: 287,199,66,694,508,59,877,5,765
93: 604,278,226,19,225,691,271,754,697,91,367,732,869
94: 818,223,674,73,467,637,654,760,274,693,275,63
95: 20,533,747,669,769,128,330,337,624,492,719,851
96: 149,381,783,25,431,415,535,901
97: 192,71,226,19,546,611,591,954,903,587,487,832
98: 296,126,328,409,422,429,527,617,737,765,931,287
99: 772,760,734,288,525,766,887
100: 636,194,751,464,752
101: 372,435,471,534,633,32,692,709,920
102: 117,324,337,490,492,841,534,692,709,852
103: 286,232,661,758,811,442,279,481,612,691
104: 661,775,811,280,442,598,273,927
105: 307,294,246,824,508,59,706,248,458,523,597,893
106: 350,289,298,405,819,712,132,749,796,582,955
107: 358,420,30,352,584,795,805,6,423,112
108: 250,664,682,60,779,28,594,620,702
109: 180,53,507,56,218,425,666,650,718,809,875,930,217
110: 507,58,115,266,463,666,645,593,676,708,879,912,914
111: 357,305,352,537,584,646,705,312,907
112: 6,428,574,613,688,423,107,352,312,795,907
113: 394,158,141,140,647,610,386,418,634,477,756,947,589
114: 413,723,855,849
115: 110,267,222,266,586,543,315,314,708,879,914
116: 386,418,486,6,16,543,531,314,742,30,547,795,805
117: 102,151,492,841,638,692,696,709,923
118: 364,88,764,363,940,10,319,572,631
119: 147,539,163,651,720,25,454,856
120: 321,504,502,608,625
121: 327,326,321,382,286,502,480,544,573,619,685,737,746,820
122: 36,500,492,638,719,854,923,674,290,128
123: 385,344,353,305,289,401,537,577,601,620,925
124: 162,395,390,159,158,536,657,387,520,667,679,756,761,958
125: 324,548,337,662,4,333,671,681,150,578,31,380
126: 98,527,607,885,931,287,292,934
127: 322,365,370,606,421,621,630,696,806,860,895
128: 95,189,674,290,533,747,637,122,624,500,492
129: 632,35,601,620,27,681,702,578,31
130: 632,38,329,472,526,601,133,681,842,150,32,738
131: 291,4,327,341,784,474,590,685,741,623
132: 106,289,594,405,819,716,582,955,565,282,417,244,36
133: 392,157,138,130,472,526,7,771,842,951,738,810,614
134: 27,702,578,782,23,605,713,871,331,921
135: 14,75,797,70,205,293,237,475,870,875
136: 390,342,349,506,833
137: 384,896
138: 396,392,161,157,345,339,874,133,771,951,634,644
139: 844,340,486,540,855,780
140: 394,802,393,141,113,657,723,634,397,855,644,849
141: 398,162,140,113,657,413,723,427,477,855,756,780
142: 372,373,362,334,163,651,710,859,152
143: 291,368,326,300,333,561,686,558,622,685,741,909,670
144: 369,277,504,943,899
145: 366,370,606,473,484,861
146: 473,759,562,651,710
147: 372,119,539,562,163,633,651,25,472,946
148: 149,341,699,381,300,568,685,649,741
149: 96,148,699,381,568,794,389,830,431,415,862,918,153
150: 632,130,681,842,125,662,32,568,671,738,380,862,901
151: 117,22,435,471,638,692,696,709,377,825,343,510
152: 720,381,300,451,571,622,649,142,373,334,163,710
153: 536,850,862,958,149,341,389,623,545
154: 159,926,37,404,519,918,437,868,789,794,389
155: 829,40,799,739,414,825,505
156: 385,28,329,601,681,716,31,510,337,692,719
157: 392,138,339,462,7,133,550,644
158: 394,124,39,453,113,657,647,610,679,756,761,958
159: 395,124,390,536,926,387,154,519,833,918
160: 396,392,339,776,551,731,807
161: 396,344,138,714,345,874,411,430,584,771,805,872,589,634,947
162: 398,124,141,657,520,427,667,756,864
163: 372,142,147,119,373,651,662,720,381,300,152,568,25
164: 245,524,767,668,890,823
165: 190,412,485,603,777
166: 513,167,188,192,204,24,197,611,722,191,733,231
167: 166,468,188,204,197,461,722,724
168: 42,13,169,47,727
169: 13,168,205,47,743,570,51,609,70
170: 41,675,567,913,47,570,721,70,252,475,408,922
171: 468,204,175,778,817
172: 44,247,549,554,629,618,49,888
173: 635,563,717,863
174: 45,205,68,426,602,616,237,944
175: 171,204,724,817
176: 41,247,567,778,618,476,922
177: 44,206,247,753,12,528,808,880,888
178: 51,202,179,196,524,515,762,609,867,635,743
179: 660,51,203,211,402,524,515,178,762,867
180: 56,109,666,774,676,809,875,2,217
181: 52,410,252,218,425,476,814,718,891
182: 11,214,299,49,814,801,888,579
183: 51,211,402,721,767,668,698,424,185
184: 460,62,52,218,815,465,812,930,939,698
185: 252,218,788,465,891,183,245,721,767,668,698
186: 64,190,224,707,65,187,735,640,530,847,881
187: 186,190,224,707,733,837
188: 166,167,24,722
189: 45,3,533,68,747,426,443,464,752,654,258,128
190: 165,186,65,187,412,485,603,733
191: 166,204,469,724,42,485,777,231
192: 166,513,97,611,591,469,897,231,832
193: 585,26,197,461,285,509,549,889,941
194: 636,46,45,3,100,9,464,752,563,575
195: 43,412,464,838,857
196: 202,201,50,515,178,575,687,677,762
197: 166,167,468,193,204,461,611,722,786,889
198: 61,301,605,528,774,555,880,71,580,566,596,948
199: 76,21,54,66,499,683,694,508,59,92,821,839,706
200: 48,241,285,509,626,916,933
201: 202,209,50,196,438,515,642,781
202: 201,196,178,575,781,46,635,9,563
203: 660,83,179,80,211,684,515,687,762
204: 166,167,468,171,197,175,469,724,191,778,786
205: 13,169,174,47,602,743,293,237,944,953,135,75,70
206: 247,71,567,566,591,177,954,753,12,880,870
207: 704,554,629,49,501,865
208: 55,282,249,736,599,447,600,658,755,828
209: 201,50,438,447,515,581,642,755,848
210: 2,250,23,652,768,478,676,713,555,915
211: 51,179,183,203,75,684,402,217,762,797,798,424
212: 2,251,936,514,672,757,85,902,56,648
213: 460,62,52,459
214: 11,182,299,49,744,501,711,725,865,878,579
215: 660,220,402,678,668
216: 552,660,220,259,80,678,514
217: 2,211,902,797,798,424,180,56,109,218,650,875
218: 184,181,52,109,252,425,465,718,185,891,930,217,698,424
219: 260,87,569,673,729
220: 660,251,215,216,80,678,493,902,798,939
221: 552,251,672,689,265,15,648
222: 267,115,689,586,265,260,463,557,648,879,914
223: 94,494,637,654,892
224: 186,707,268,187,466,640,847,837
225: 604,840,93,748,450,19,691,271,792,827,707
226: 604,278,93,97,19,546,908,691,0,18,903,367,732
227: 233,8,450,792,843,827,831
228: 90,592,785,441,275,495
229: 883,412,735,494,838
230: 20,533,89,426,530,587,602,616,769,881
231: 42,897,485,733,832,166,513,192,191
232: 326,286,474,558,103,758,732,869,691
233: 227,481,273,843,826,831
234: 241,240,934,280,517,626,770,927
235: 78,249,447,448,828,816,845,957,242
236: 636,818,242,772,751,787,752,734
237: 205,174,68,588,602,293,135,14,75,684,518,652,677
238: 782,20,29,588,587,602,669,580
239: 21,241,704,683,509,517,629,72,821
240: 434,241,234,280,683,482,479,626,770,877,916,927
241: 240,200,234,239,683,509,517,626,770,916
242: 636,236,787,734,950,235,448,828,957
243: 565,55,282,518,658,682,884,779,244,3,290,68,747,258,69
244: 565,282,243,417,772,290,258,734,36,887,132
245: 164,767,668,823,788,465,185
246: 615,307,255,342,295,294,886,105,335,597,893
247: 44,206,172,567,549,591,177,753,778,786,176
248: 706,77,253,665,432,938,597,54,508,105,824
249: 78,208,736,447,235,600,755,816
250: 433,108,428,210,23,643,652,768,682,60,884,779,702
251: 552,220,212,514,221,493,672,902,15,650,648,939
252: 181,218,788,475,476,718,185,408,922,891,170,721,424
253: 706,354,299,248,445,744,726,878,579,938,54,499
254: 445,711,725,729,878
255: 615,307,342,356,349,628,246,886,452,667,627,597
256: 263,522,600
257: 304,263,264,74,599,522,600,688,643,664,773,311,312
258: 189,772,3,787,290,752,734,243,244
259: 79,83,216,264,74,514,522,581,773,876,882
260: 53,222,86,219,436,463,557,673,803
261: 556,62,86,15,436,815,812
262: 491,659,309,538,569,452,695,310,763
263: 256,257,522,600,773,311
264: 83,259,257,74,514,574,688,643,757,773,876
265: 222,689,586,543,648,914,542,221,672
266: 110,115,543,478,531,314,676,708,914,915,16,85
267: 222,115,586,659,569,360,315,879
268: 224,455,466,640,847,271,10,700,319,690,88
269: 64,89,270,735,640,637,892,560,693,441
270: 64,269,466,640,495,700,317,560,441
271: 93,748,225,268,455,10,91,88,764,869
272: 564,625,758
273: 233,280,442,481,598,826,104,811
274: 910,421,500,693,275,873,63,945,674,94
275: 910,274,90,592,693,228,63,73,94
276: 10,318,323,624,325,490,560,91,89,455,697
277: 369,144,283,504,686,571,608,894,899
278: 226,93,19,903,29,754,587,697,367
