135: 110,180,27,58,301,266,299,109,2,29,212,85,16,250,61,217,57
136: 395,390,355,159,356,141,349
137: 391,357,385,351,350,111,305
138: 396,386,344,157,156,345,359,35,133,161,393,140,397
139: 398,162,394,355,141,361,140,114,308,340
140: 116,162,161,394,393,139,308,397,346,340,138,359,35
141: 162,395,394,124,355,356,349,136,361,354,139,308,346,309
142: 399,101,372,145,119,318,324,362,365,366,334
143: 291,367,333,232,23,325,324,330
144: 277
145: 399,101,332,142,146,127,365,366,370
146: 399,332,145,147,119
147: 332,372,146,119,163,378,150
148: 374,149,131,341,382,381,333,300,153,96
149: 376,375,374,33,154,148,131,341,382,381,389,153,96,37,387
150: 379,372,147,32,163,300,380,96,25
151: 36,385,155,38,130,378,377,329,332,371,370,337,32
152: 163,381,300,373,119,334
153: 307,124,389,39,347,380,113,294,129,96,387,374,148,149,131,341
154: 376,375,383,149,389,159,37
155: 385,384,378,377,40,151
156: 386,36,344,138,353,38,345,130,35,133,331,31,123,129,57
157: 396,138,339,161,393,397
158: 162,161,395,394,39,388,393,347,387,25
159: 395,390,389,136,37,387,154
160: 392,339,379,40
161: 162,394,39,388,393,158,140,347,397,157,138,345,133
162: 161,395,394,124,355,39,388,393,158,141,140,347,139,346
163: 381,152,300,147,150,96
164: 175,41
165: 42,168,190,191,166
166: 47,167,188,204,197,8,42,165,191,205,187
167: 44,47,48,166,171,188,192,204,197,8
168: 42,46,165,169,190,191,196,43,174
169: 70,46,168,191,238,205,196,175,174,170,51
170: 169,191,205,175,47,293,197,41,51,252
171: 177,44,47,48,167,192,293,197,176
172: 177,48,49,199,200,207
173: 46,196,9,178
174: 70,42,46,168,169,189,45,238,205,196,43,3
175: 169,191,164,170,41
176: 12,181,177,171,293,41,252
177: 49,171,172,199,207,176,12,181,182,206
178: 202,179,209,203,50,173
179: 56,51,178,183,210,215,80,203,211,252
180: 135,58,301,12,109,29,212,198,56,75,210,211,245,252,1,13,61,217
181: 176,12,182,52,213,218,177
182: 53,12,181,213,214,206,177
183: 179,215,220,211
184: 251,62,52,15,218,221,220,211,61,217
185: 52,41,211,252
186: 190,224,229,225,65,187
187: 42,186,190,225,65,231,166,188,24
188: 231,166,167,204,24,8,187
189: 68,95,45,229,236,284,290,20,100,275,43,65,94,174,89
190: 42,165,168,186,229,43,65,187
191: 42,165,168,169,205,175,170,47,166,197
192: 44,47,48,49,167,171,247,193,204,199,71,293,197,8
193: 44,49,21,240,192,199,200,71,226,66
194: 45,235,290,100,9,201,258
195: 45,229,43
196: 46,168,169,45,43,174,173,9,3
197: 44,47,166,167,171,247,192,204,293,8,191,205,170
198: 247,71,293,75,245,1,13,180,301,12,109,2,29
199: 177,44,49,172,192,193,200,71,207,12,206
200: 48,49,241,172,240,193,199,239,207
201: 78,202,258,50,194,235,9
202: 78,201,178,258,208,209,203,50,243,3
203: 55,56,202,178,179,210,215,80,244,50,74,243
204: 231,44,47,166,167,188,247,192,226,197,97,8
205: 70,42,169,191,238,174,170,47,166,247,293,197
206: 17,81,253,12,182,214,11,177,49,199,207
207: 177,49,72,172,199,200,239,214,206
208: 78,79,83,202,209,249,50,243
209: 83,202,178,208,215,50
210: 55,56,179,75,80,203,211,245,252,1,13,61,217,70,238,180
211: 56,179,183,210,220,252,61,217,180,184,52,185
212: 110,180,135,251,58,301,266,109,29,15,260,218,11,61,217
213: 53,62,181,182,52,218
214: 17,81,253,219,182,206,248,72,54,207
215: 83,179,183,209,220,80,203
216: 84,220,259
217: 85,56,210,80,211,61,180,135,251,58,184,15,212
218: 53,251,58,261,62,184,181,52,15,212,213,260
219: 267,17,53,254,81,82,262,253,214,260,87,248,77,11
220: 84,183,215,216,80,211,184
