0: 1,278,226,66,18,103,93,291,367,326,232
1: 238,278,0,18,198,29,23,134,291,4,367,333,331
2: 110,180,210,56,61,27,237,238,198,135,250,23
3: 13,194,45,258,290,68,282,201,50,243,75,196
4: 291,148,131,341,333,1,18,347,153,331,294,380,348
5: 287,66,280,103,279,98,131,326,273,104,286
6: 85,84,16,112,266,313,265,30,107
7: 25
8: 19,192,226,233,24,26,93,231,225
9: 46,194,173,235,202,201
10: 276,317,318,319,91,325,118,268,270,271,320,88
11: 53,254,58,253,219,182,214,299
12: 180,58,206,181,182,109,61,252,293,177,176,198
13: 178,46,168,169,45,3,174,75,196
14: 76,71,66,18,246,92,198,59,206,301,348
15: 222,261,56,266,221,184,265,260,85,217,251
16: 85,6,250,212,112,210,266,57,386,107,35,312
17: 253,214,72
18: 14,76,1,66,0,246,92,291,4,131,348
19: 192,278,226,8,93,97,231,230,20,225
20: 42,95,230,237,205,65,174,29,68,19,238,278,97
21: 287,72,199,54,239,296,92,59,248,98,105
22: 371,281,127,370,34,377
23: 250,243,237,29,69,1,238,2,27,134,108,331
24: 188,8,231,225,187
25: 133,388,7,147,150,163,96,379
26: 67,193,227,233,285,8,279
27: 210,2,57,250,23,35,331,129,81
28: 132,343,108,289,329,123,60,282,117,36
29: 95,230,20,69,1,238,278,23,31,134,330,367
30: 107,359,6,313,116,340,316,314
31: 134,330,337,36,95,29,69,108
32: 332,372,147,125,151,150,38,130,378,379,329
33: 375,374,381
34: 384,336,343,106,298,377,22,371,281
35: 386,156,345,123,312,60,16,250,57,27,129
36: 117,31,122,95,244,290,128,69,282,132,108,28
37: 159,388,387,374,154
38: 385,138,155,353,345,130,378,379,40,329,32
39: 133,158,153,113,380,387,96,130
40: 391,385,160,138,155,353,38,339,379
41: 204,176,170,175,51,164,185,252
42: 231,165,168,190,191,205,20,166,43,65,174,47,197
43: 42,165,168,189,190,195,45,229,65,174
44: 48,172,247,193,199,200,71,207,177
45: 13,46,189,194,195,3,43,174
46: 178,13,194,45,173,9,202,196
47: 167,247,192,204,197,97,42,191,205,166
48: 44,67,167,171,172,247,193,200
49: 172,207,177,214
50: 55,78,83,201,208,209,203,74,243,75,196,258,3
51: 70,179,183,211,164,169,175,41,170,185,252
52: 62,184,181,185,213,218,245
53: 58,261,11,219,182,109,213,260
54: 21,72,199,239,207,177,59,206,214,299,248
55: 60,83,135,250,80,203,257,50,264,74,243,212
56: 110,180,210,2,58,266,109,61,15,260,217
57: 110,210,266,27,16,386,35,116,82,346,129,81
58: 110,53,206,354,56,11,12,219,182,109,61,301,260,299
59: 206,301,299,248,14,76,21,54,246,92,348,105
60: 55,282,250,257,243,108,35,28,123,312
61: 110,180,2,58,206,56,12,109,301,198
62: 261,86,184,52,213
63: 275,236,244,73,94,128,274,281,122,99
64: 186,223,224,229,89,270,269
65: 42,231,186,189,190,229,20,43,174,89
66: 14,5,76,199,71,226,0,18,103,279,246,92
