time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
0.366667	9.98741	9.97495	9.98751	9.97495	9.95	9.97504	9.98751	9.97504	9.98751	9.97495	9.95	9.97504	9.95	9.8979	9.95	9.97504	9.95	9.97495	9.98751	9.97504	9.98751	9.97504	9.95	9.97495	9.98751	9.97495	9.98741
0.383333	9.99012	9.98033	9.9902	9.98033	9.96075	9.98041	9.9902	9.98041	9.9902	9.98033	9.96075	9.98041	9.96075	9.91942	9.96075	9.98041	9.96075	9.98033	9.9902	9.98041	9.9902	9.98041	9.96075	9.98033	9.9902	9.98033	9.99012
0.4	9.99224	9.98456	9.99231	9.98456	9.96919	9.98462	9.99231	9.98462	9.99231	9.98456	9.96919	9.98462	9.96919	9.9363	9.96919	9.98462	9.96919	9.98456	9.99231	9.98462	9.99231	9.98462	9.96919	9.98456	9.99231	9.98456	9.99224
0.416667	9.99391	9.98788	9.99396	9.98788	9.97581	9.98793	9.99396	9.98793	9.99396	9.98788	9.97581	9.98793	9.97581	9.94956	9.97581	9.98793	9.97581	9.98788	9.99396	9.98793	9.99396	9.98793	9.97581	9.98788	9.99396	9.98788	9.99391
0.433333	9.99522	9.99049	9.99526	9.99049	9.98101	9.99053	9.99526	9.99053	9.99526	9.99049	9.98101	9.99053	9.98101	9.95996	9.98101	9.99053	9.98101	9.99049	9.99526	9.99053	9.99526	9.99053	9.98101	9.99049	9.99526	9.99049	9.99522
0.45	9.99625	9.99253	9.99628	9.99253	9.98509	9.99256	9.99628	9.99256	9.99628	9.99253	9.98509	9.99256	9.98509	9.96812	9.98509	9.99256	9.98509	9.99253	9.99628	9.99256	9.99628	9.99256	9.98509	9.99253	9.99628	9.99253	9.99625
0.466667	9.99706	9.99414	9.99708	9.99414	9.9883	9.99416	9.99708	9.99416	9.99708	9.99414	9.9883	9.99416	9.9883	9.97453	9.9883	9.99416	9.9883	9.99414	9.99708	9.99416	9.99708	9.99416	9.9883	9.99414	9.99708	9.99414	9.99706
0.483333	9.99769	9.9954	9.99771	9.9954	9.99081	9.99542	9.99771	9.99542	9.99771	9.9954	9.99081	9.99542	9.99081	9.97956	9.99081	9.99542	9.99081	9.9954	9.99771	9.99542	9.99771	9.99542	9.99081	9.9954	9.99771	9.9954	9.99769
0.5	9.99819	9.99639	9.9982	9.99639	9.99278	9.9964	9.9982	9.9964	9.9982	9.99639	9.99278	9.9964	9.99278	9.98351	9.99278	9.9964	9.99278	9.99639	9.9982	9.9964	9.9982	9.9964	9.99278	9.99639	9.9982	9.99639	9.99819
0.516667	9.99857	9.99716	9.99859	9.99716	9.99433	9.99717	9.99859	9.99717	9.99859	9.99716	9.99433	9.99717	9.99433	9.98661	9.99433	9.99717	9.99433	9.99716	9.99859	9.99717	9.99859	9.99717	9.99433	9.99716	9.99859	9.99716	9.99857
0.533333	9.99888	9.99777	9.99889	9.99777	9.99555	9.99778	9.99889	9.99778	9.99889	9.99777	9.99555	9.99778	9.99555	9.98904	9.99555	9.99778	9.99555	9.99777	9.99889	9.99778	9.99889	9.99778	9.99555	9.99777	9.99889	9.99777	9.99888
0.55	9.99912	9.99825	9.99913	9.99825	9.9965	9.99826	9.99913	9.99826	9.99913	9.99825	9.9965	9.99826	9.9965	9.99095	9.9965	9.99826	9.9965	9.99825	9.99913	9.99826	9.99913	9.99826	9.9965	9.99825	9.99913	9.99825	9.99912
0.566667	9.99931	9.99863	9.99932	9.99863	9.99725	9.99863	9.99932	9.99863	9.99932	9.99863	9.99725	9.99863	9.99725	9.99245	9.99725	9.99863	9.99725	9.99863	9.99932	9.99863	9.99932	9.99863	9.99725	9.99863	9.99932	9.99863	9.99931
0.583333	9.99946	9.99892	9.99946	9.99892	9.99784	9.99892	9.99946	9.99892	9.99946	9.99892	9.99784	9.99892	9.99784	9.99363	9.99784	9.99892	9.99784	9.99892	9.99946	9.99892	9.99946	9.99892	9.99784	9.99892	9.99946	9.99892	9.99946
0.6	9.99957	9.99915	9.99958	9.99915	9.9983	9.99915	9.99958	9.99915	9.99958	9.99915	9.9983	9.99915	9.9983	9.99455	9.9983	9.99915	9.9983	9.99915	9.99958	9.99915	9.99958	9.99915	9.9983	9.99915	9.99958	9.99915	9.99957
0.616667	9.99966	9.99933	9.99967	9.99933	9.99866	9.99933	9.99967	9.99933	9.99967	9.99933	9.99866	9.99933	9.99866	9.99527	9.99866	9.99933	9.99866	9.99933	9.99967	9.99933	9.99967	9.99933	9.99866	9.99933	9.99967	9.99933	9.99966
0.633333	9.99974	9.99947	9.99974	9.99947	9.99895	9.99948	9.99974	9.99948	9.99974	9.99947	9.99895	9.99948	9.99895	9.99584	9.99895	9.99948	9.99895	9.99947	9.99974	9.99948	9.99974	9.99948	9.99895	9.99947	9.99974	9.99947	9.99974
0.65	9.99979	9.99959	9.99979	9.99959	9.99917	9.99959	9.99979	9.99959	9.99979	9.99959	9.99917	9.99959	9.99917	9.99629	9.99917	9.99959	9.99917	9.99959	9.99979	9.99959	9.99979	9.99959	9.99917	9.99959	9.99979	9.99959	9.99979
