time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
2.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
2.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
3.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
4.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
5.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
6.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
7.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
